Case Type Group,Case Type Subgroup,BLM Product,BLM Product Code
Fluid Minerals,Agreements,O&G GEOPHYSICAL EXPLORATION – EXCEPT AK,315100
Fluid Minerals,Agreements,O&G GEOPHYS PERMIT- AK,315200
Fluid Minerals,Agreements,O&G COMPENSATORY ROYALTY AGREEMENT,318110
Fluid Minerals,Agreements,O&G COMPENSATORY ROYALTY AGREEMENT - DRAINAGE,318120
Fluid Minerals,Agreements,O&G RIGHT OF WAY COMPENSATORY ROYALTY AGREEMENT,318130
Fluid Minerals,Agreements,O&G EXPLORATORY UNIT AGREEMENT,318210
Fluid Minerals,Agreements,O&G SECONDARY UNIT AGREEMENT,318220
Fluid Minerals,Agreements,O&G API/STATE UNIT AGREEMENT,318240
Fluid Minerals,Agreements,O&G INDIAN EXPLORATORY UNIT AGREEMENT,318250
Fluid Minerals,Agreements,O&G INDIAN SECONDARY UNIT AGREEMENT,318260
Fluid Minerals,Agreements,O&G SUBORDINATE STATE UNIT AGREEMENT,318290
Fluid Minerals,Agreements,O&G COMMUNITIZATION AGREEMENT,318310
Fluid Minerals,Agreements,O&G INDIAN COMMUNITIZATION AGREEMENT,318320
Fluid Minerals,Agreements,O&G PRIVATE ACQUIRED COMMUNITIZATION AGREEMENT,318330
Fluid Minerals,Agreements,O&G GAS STORAGE AGREEMENT,318410
Fluid Minerals,Agreements,O&G DEVELOPMENT CONTRACT,318510
Fluid Minerals,Agreements,GEOTHERMAL GEOPHYSICAL EXPLORATION,320901
Fluid Minerals,Agreements,GEOTHERMAL COMPENSATORY ROYALTY AGREEMENT,328120
Fluid Minerals,Agreements,GEOTHERMAL UNIT AGREEMENT,328200
Fluid Minerals,Agreements,GEOTHERMAL DEVELOPMENT CONTRACT,328500
Fluid Minerals,Geothermal Leases,GEOTHERMAL UNLEASED LANDS ACCOUNT,320099
Fluid Minerals,Geothermal Leases,GEOTHERMAL PRIVATE ACQUIRED LEASE,320112
Fluid Minerals,Geothermal Leases,BOND - GEOTHERMAL ALL LANDS,320634
Fluid Minerals,Geothermal Leases,GEOTHERMAL NONCOMPETITIVE LEASE PRE 2005,321000
Fluid Minerals,Geothermal Leases,GEOTHERMAL NONCOMPETITIVE LEASE POST 2005,321200
Fluid Minerals,Geothermal Leases,GEOTHERMAL NONCOMPETITIVE CONVERTED LEASE,321300
Fluid Minerals,Geothermal Leases,GEOTHERMAL NONCOMPETITIVE DIRECT USE LEASE,321400
Fluid Minerals,Geothermal Leases,GEOTHERMAL MINING CLAIMANT LEASE,321500
Fluid Minerals,Geothermal Leases,GEOTHERMAL COMPETITIVE LEASE PRE 2005,322000
Fluid Minerals,Geothermal Leases,GEOTHERMAL COMPETITIVE LEASE POST 2005,322200
Fluid Minerals,Geothermal Leases,GEOTHERMAL COMPETITIVE CONVERTED LEASE,322300
Fluid Minerals,Geothermal Leases,GEOTHERMAL UTILIZATION SITE,325060
Fluid Minerals,Oil/Gas Leases,O&G UNLEASED LANDS ACCOUNT,310099
Fluid Minerals,Oil/Gas Leases,O&G PRIVATE ACQUIRED LEASE,310112
Fluid Minerals,Oil/Gas Leases,O&G BOND PUB DOMAIN LAND,310431
Fluid Minerals,Oil/Gas Leases,BOND - O&G ALL LANDS,310434
Fluid Minerals,Oil/Gas Leases,O&G EXCHANGE PUBLIC DOMAIN LEASE,310771
Fluid Minerals,Oil/Gas Leases,O&G RENEWAL PUBLIC DOMAIN LEASE,310781
Fluid Minerals,Oil/Gas Leases,O&G SPECIAL ACT - RIGHT OF WAY LEASE,310911
Fluid Minerals,Oil/Gas Leases,O&G NONCOMPETITIVE PUBLIC DOMAIN LEASE PRE 1987,311111
Fluid Minerals,Oil/Gas Leases,O&G NONCOMPETITIVE ACQUIRED LEASE PRE 1987,311112
Fluid Minerals,Oil/Gas Leases,O&G SPECIAL ACTS - NPS/FS AREAS LEASE,311115
Fluid Minerals,Oil/Gas Leases,O&G SPECIAL ACT - FEDERAL FARM MORTGAGE CORPORATION LEASE,311116
Fluid Minerals,Oil/Gas Leases,O&G NONCOMPETITIVE CLASS III REINSTATEMENT LEASE,311117
Fluid Minerals,Oil/Gas Leases,O&G TEXAS RELINQUISHMENT ACT LEASE,311120
Fluid Minerals,Oil/Gas Leases,O&G NONCOMPETITIVE PUBLIC DOMAIN LEASE POST 1987,311121
Fluid Minerals,Oil/Gas Leases,O&G NONCOMPETITIVE ACQUIRED LEASE POST 1987,311122
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST NONCOMPETITIVE ACQUIRED LEASE POST 1987,311124
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST NONCOMPETITIVE ACQUIRED LEASE PRE 1987,311132
Fluid Minerals,Oil/Gas Leases,O&G SIMULTANEOUS PUBLIC DOMAIN LEASE,311211
Fluid Minerals,Oil/Gas Leases,O&G SIMULTANEOUS ACQUIRED LEASE,311212
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE PUBLIC DOMAIN LEASE PRE 1987,312011
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE ACQUIRED LEASE PRE 1987,312012
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE GSA LAND LEASE,312013
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE PROTECTIVE LEASE,312014
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE PUBLIC DOMAIN LEASE POST 1987,312021
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE ACQUIRED LEASE POST 1987,312022
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST COMPETITIVE ACQUIRED LEASE POST 1987,312024
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE PUBLIC DOMAIN LEASE POST 2022,312025
Fluid Minerals,Oil/Gas Leases,O&G COMPETITIVE ACQUIRED LEASE POST 2022,312026
Fluid Minerals,Oil/Gas Leases,O&G NAVAL OIL SHALE RESERVES COMPETITIVE LEASE,312031
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST COMPETITIVE ACQUIRED LEASE PRE 1987,312082
Fluid Minerals,Oil/Gas Leases,O&G HYDROCARBON LEASE,314011
Fluid Minerals,Oil/Gas Leases,O&G HYDROCARBON APPLICATION,314088
Fluid Minerals,Participating Areas,O&G PARTICIPATING AREA,318230
Fluid Minerals,Participating Areas,O&G INDIAN PARTICIPATING AREA,318270
Fluid Minerals,Participating Areas,O&G SUBORDINATE STATE PARTICIPATING AREA,318291
Fluid Minerals,Participating Areas,GEOTHERMAL PARTICIPATING AREA,328230
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST NONCOMPETITIVE PUBLIC DOMAIN LEASE PRE 1987,311131
Fluid Minerals,Oil/Gas Leases,O&G FUTURE INTEREST COMPETITIVE PUBLIC DOMAIN LEASE,312081
Fluid Minerals,Agreements,COMMUNITIZATION AGREEMENT,328300
Land Tenure,Acquisitions,TAYLOR GRAZING ACT,210001
Land Tenure,Acquisitions,NATIONAL SOIL CONSERVATION ACT,210002
Land Tenure,Acquisitions,OREGON AND CALIFORNIA ACT,210003
Land Tenure,Acquisitions,TIMBER ACCESS ROAD,210006
